Python Developer,Infosys,"Chennai, Tamil Nadu, India","Primary skills: Python > Django, Flask, Pandas, Numpy, PyramidA day in the life of an InfoscionAs part of the Infosys delivery team, your primary role would be to ensure Development, Validation and Support activities, to assure that our clients are satisfied with the high levels of service in the technology domain.You will gather the requirements and specifications to understand the client requirements in a detailed manner and translate the same into system requirements.You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!Writing efficient, reusable, testable, and scalable code, Integration of user-oriented elements into different applications, data storage solutions, Keeping abreast with the latest technology and trends If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Knowledge of design principles and fundamentals of architectureBasic understanding of project domainWriting scalable code using Python programming language.Ability to translate functional / nonfunctional requirements to systems requirementsAbility to design and code complex programsAbility to write test cases and scenarios based on the specificationsGood understanding of agile methodologiesAwareness of latest technologies and trendsLogical thinking and problem-solving skills along with an ability to collaborateShow moreShow less",https://in.linkedin.com/jobs/view/python-developer-at-infosys-3795333449?refId=eU9y9xy96mA%2FAFVM%2Ft6YGQ%3D%3D&trackingId=8u%2Bq6U0fduTXb6Bnxa8g3Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Developer,Wipro,"Hyderabad, Telangana, India","Role PurposeThe purpose of this role is to design, test and maintain softwareprograms for operating systems or applications which needs to bedeployed at a client end and ensure its meet 100% quality assuranceparametersDoInstrumental in understanding the requirements and design ofthe product/ softwareDevelop software solutions by studying information needs,studying systems flow, data usage and work processesInvestigating problem areas followed by the software developmentlife cycleFacilitate root cause analysis of the system issues and problemstatementIdentify ideas to improve system performance and impactavailabilityAnalyze client requirements and convert requirements to feasibledesignCollaborate with functional teams or systems analysts who carryout the detailed investigation into software requirementsConferring with project managers to obtain information onsoftware capabilitiesPerform coding and ensure optimal software/ moduledevelopmentDetermine operational feasibility by evaluating analysis,problem definition, requirements, software development and proposedsoftwareDevelop and automate processes for software validation by setting up and designing test cases/scenarios/usage cases, andexecuting these casesModifying software to fix errors, adapt it to new hardware,improve its performance, or upgrade interfaces.Analyzing information to recommend and plan the installation ofnew systems or modifications of an existing systemEnsuring that code is error free or has no bugs and test failurePreparing reports on programming project specifications,activities and statusEnsure all the codes are raised as per the norm defined forproject / program / account with clear description and replicationpatternsCompile timely, comprehensive and accurate documentation andreports as requestedCoordinating with the team on daily project status and progressand documenting itProviding feedback on usability and serviceability, trace theresult to quality risk and report it to concerned stakeholdersStatus Reporting and Customer Focus on an ongoing basis withrespect to project and its executionCapturing all the requirements and clarifications from theclient for better quality workTaking feedback on the regular basis to ensure smooth and ontime deliveryParticipating in continuing education and training to remaincurrent on best practices, learn new programming languages, and betterassist other team members.Consulting with engineering staff to evaluate software-hardwareinterfaces and develop specifications and performance requirementsDocument and demonstrate solutions by developing documentation,flowcharts, layouts, diagrams, charts, code comments and clear codeDocumenting very necessary details and reports in a formal wayfor proper understanding of software from client proposal toimplementationEnsure good quality of interaction with customer w.r.t. e-mailcontent, fault report tracking, voice calls, business etiquette etcTimely Response to customer requests and no instances ofcomplaints either internally or externallyStakeholder InteractionStakeholder TypeStakeholder IdentificationPurpose of InteractionInternalLead Software Developer and Project ManagerRegular reporting & updatesSoftware DevelopersFor work coordination and support in providing testing solutionsExternalClientsProvide apt solutions and support as per the requirementDisplayLists the competencies required to perform this role effectively:Functional Competencies/ SkillLeveraging Technology – Knowledge of current and upcomingtechnology along with expertise in programming (automation, tools andsystems) to build efficiencies and effectiveness in own function/ Clientorganization – CompetentProcess Excellence - Ability to follow the standards and norms toproduce consistent results, provide effective control and reduction ofrisk – ExpertTechnical knowledge – knowledge of various programminglanguages, tools, quality management standards and processes - ExpertCompetency LevelsFoundationKnowledgeable about the competency requirements. Demonstrates (inparts) frequently with minimal support and guidance.CompetentConsistently demonstrates the full range of the competencywithout guidance. Extends the competency to difficult and unknownsituations as well.ExpertApplies the competency in all situations and is serves as a guideto others as well.MasterCoaches others and builds organizational capability in thecompetency area. Serves as a key resource for that competency and isrecognised within the entire organization.Behavioral CompetenciesFormulation & PrioritizationInnovationManaging ComplexityExecution ExcellencePassion for ResultsDeliverNo.Performance ParameterMeasureContinuous Integration, Deployment & Monitoring of Software100% error free on boarding & implementation, throughput %,Adherence to the schedule/ release planQuality & CSATOn-Time Delivery, Manage software, Troubleshoot queriesCustomer experience, completion of assigned certifications for skillupgradationMIS & Reporting100% on time MIS & report generationAI CognitiveShow moreShow less",https://in.linkedin.com/jobs/view/python-developer-at-wipro-3799070239?refId=eU9y9xy96mA%2FAFVM%2Ft6YGQ%3D%3D&trackingId=7aQd9ojcPgrRWUzAnbeSLw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Lead,Infosys,"Bengaluru East, Karnataka, India","Primary skills:PythonA day in the life of an InfoscionAs part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and Support activities, to assure that our clients are satisfied with the high levels of service in the technology domain.You will gather the requirements and specifications to understand the client requirements in a detailed manner and translate the same into system requirements.You will play a key role in the overall estimation of work requirements to provide the right information on project estimations to Technology Leads and Project Managers.You would be a key contributor to building efficient programs/ systems . If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Additional Info:Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant dataAwareness of latest technologies and trendsLogical thinking and problem solving skills along with an ability to collaborateAbility to assess the current processes, identify improvement areas and suggest the technology solutionsOne or two industry domain knowledgeShow moreShow less",https://in.linkedin.com/jobs/view/python-lead-at-infosys-3795331565?refId=eU9y9xy96mA%2FAFVM%2Ft6YGQ%3D%3D&trackingId=krft9%2B3yXKf9lSYwcI18Qg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Development Interns (Freshers/Juniors),MAYA,"Bengaluru, Karnataka, India",,https://in.linkedin.com/jobs/view/software-development-interns-freshers-juniors-at-maya-3799631446?refId=eU9y9xy96mA%2FAFVM%2Ft6YGQ%3D%3D&trackingId=c7H%2F0QdXcaQm%2FE816AWKzA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Lead,Infosys,"Bengaluru East, Karnataka, India","Primary skills:PythonA day in the life of an InfoscionAs part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and Support activities, to assure that our clients are satisfied with the high levels of service in the technology domain.You will gather the requirements and specifications to understand the client requirements in a detailed manner and translate the same into system requirements.You will play a key role in the overall estimation of work requirements to provide the right information on project estimations to Technology Leads and Project Managers.You would be a key contributor to building efficient programs/ systems . If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant dataAwareness of latest technologies and trendsLogical thinking and problem solving skills along with an ability to collaborateAbility to assess the current processes, identify improvement areas and suggest the technology solutionsOne or two industry domain knowledgeShow moreShow less",https://in.linkedin.com/jobs/view/python-lead-at-infosys-3795330888?refId=eU9y9xy96mA%2FAFVM%2Ft6YGQ%3D%3D&trackingId=ktTA9eFMYrGOCQe5%2Bhw70g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst,Genpact,"Bengaluru, Karnataka, India","The ideal candidate is a team player who will be responsible for working with company data in various business areas. Specific responsibilities include reporting metrics, analyzing methodologies, suggesting operation improvements, and building proposal evaluations in a cross-functional environment.ResponsibilitiesTrack and report dataBuild cross-functional partnerships, internally and externallyManage budgetsMaintain a competitive market knowledgeQualificationsBachelor's degree or equivalent experienceFluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.)Strong written, verbal and collaboration skillsShow moreShow less",https://in.linkedin.com/jobs/view/business-analyst-at-genpact-3800926441?refId=eU9y9xy96mA%2FAFVM%2Ft6YGQ%3D%3D&trackingId=OWH6VWvaGgzWtLlbGTRdDg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Lead,Infosys,"Pune, Maharashtra, India","Primary skills:PythonAs part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and Support activities, to assure that our clients are satisfied with the high levels of service in the technology domain.You will gather the requirements and specifications to understand the client requirements in a detailed manner and translate the same into system requirements.You will play a key role in the overall estimation of work requirements to provide the right information on project estimations to Technology Leads and Project Managers.You would be a key contributor to building efficient programs/ systems . If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant dataAwareness of latest technologies and trendsLogical thinking and problem solving skills along with an ability to collaborateAbility to assess the current processes, identify improvement areas and suggest the technology solutionsOne or two industry domain knowledgeShow moreShow less",https://in.linkedin.com/jobs/view/python-lead-at-infosys-3794765888?refId=eU9y9xy96mA%2FAFVM%2Ft6YGQ%3D%3D&trackingId=KA4xCHBinrIVrBTXkQj0iA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Lead,Infosys,"Pune, Maharashtra, India",,https://in.linkedin.com/jobs/view/python-lead-at-infosys-3796923127?refId=eU9y9xy96mA%2FAFVM%2Ft6YGQ%3D%3D&trackingId=TqAgcpeGhIT24BRJZtQ33g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Genpact,"Hyderabad, Telangana, India","Description - ExternalWith a startup spirit and 115,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. We dream in digital, dare in reality, and reinvent the ways companies work to make an impact far bigger than just our bottom line. We’re harnessing the power of technology and humanity to create meaningful transformation that moves us forward in our pursuit of a world that works better for people. Now, we’re calling upon the thinkers and doers, those with a natural curiosity and a hunger to keep learning, keep growing., People who thrive on fearlessly experimenting, seizing opportunities, and pushing boundaries to turn our vision into reality. And as you help us create a better world, we will help you build your own intellectual firepower.Welcome to the relentless pursuit of better.Inviting applications for the role ofLead Consultant-Data Analyst!Skillset:Data Analyst role with Insurance background and super good in SQL, good to have SSIS knowledge but not mandate.Must have strong working experience on SQL & MS excel.Must have Insurance domain knowledge.Must have experience.Good to have SSIS knowledge.ResponsibilitiesData preparation from SQLSQL server processing and reportingUnderstand SQL server and data mappings, understand relational data models, data analysis and reporting platformWorked on SQL serverExcellent written and verbal communication skillsStrong SQL Query writing knowledge.Strong expertise in MS ExcelShould be able to write queries.Should be able to understand requirements, analysis them, build and deliver the reportsExperience in Data Migration using SQL loader, import/exportQualifications we seek in you!Minimum Qualifications§ B.E./B Tech/BCA/MCA§ Strong hands-on experience with SQL server Processing and reporting§ Good understanding of SQL server and data mappings, relational data models, data analysis and reporting platform§ Should have participated in different kinds of testing like Unit Testing, System Testing, User Acceptance Testing, etc.§ Experience of working with tools like ServiceNow, JIRA§ Excellent communication and interpersonal skills.§ Ability to work collaboratively in a team environment and interact with stakeholders at different levels.Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws.Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com . Follow us on Twitter, Facebook, LinkedIn, and YouTube.Furthermore, please do note that Genpact does not charge fees to process job applications and applicants are not required to pay to participate in our hiring process in any other way. Examples of such scams include purchasing a 'starter kit,' paying to apply, or purchasing equipment or training.Show moreShow less",https://in.linkedin.com/jobs/view/data-analyst-at-genpact-3803104459?refId=eU9y9xy96mA%2FAFVM%2Ft6YGQ%3D%3D&trackingId=Pk%2FG5Fd5t8EUG9dgQiqZkQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
ADM_Python_Q4_TL,Infosys,"Bhubaneswar, Odisha, India","Primary skills:PythonPrimary Skills: Python Additional Info:Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant dataAwareness of latest technologies and trendsLogical thinking and problem solving skills along with an ability to collaborateAbility to assess the current processes, identify improvement areas and suggest the technology solutionsOne or two industry domain knowledgeShow moreShow less",https://in.linkedin.com/jobs/view/adm-python-q4-tl-at-infosys-3796437471?refId=eU9y9xy96mA%2FAFVM%2Ft6YGQ%3D%3D&trackingId=l%2F4GPGWiphR3IIQraJ5iPw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
